lr-Adam,step,val_loss,epoch,avg_test_acc
0.001,0,,,
,859,0.13516587018966675,0,
0.001,860,,,
,1719,0.10171100497245789,1,
0.001,1720,,,
,2579,0.09617900848388672,2,
0.001,2580,,,
,3439,0.1041862890124321,3,
0.001,3440,,,
,4299,0.10001955181360245,4,
0.001,4300,,,
,5159,0.09480015933513641,5,
0.001,5160,,,
,6019,0.09258262068033218,6,
0.001,6020,,,
,6879,0.13657411932945251,7,
0.001,6880,,,
,7739,0.10036451369524002,8,
0.001,7740,,,
,8599,0.10128172487020493,9,
,8600,,10,0.9768112897872925
